event_id,sport,home_team,away_team,venue_canonical,venue_city,venue_state,event_date,venue_lat,venue_lon
nfl_401772888,nfl,Detroit Lions,New York Giants,Ford Field,Detroit,MI,2025-11-23T18:00Z,42.34,-83.0456
nba_401810260,nba,Denver Nuggets,Utah Jazz,Ball Arena,Denver,CO,2025-12-23T02:00Z,39.7487,-105.0077
nba_401810716,nba,Dallas Mavericks,Memphis Grizzlies,American Airlines Center,Dallas,TX,2026-02-28T01:30Z,32.7905,-96.8104
nba_401810927,nba,Denver Nuggets,Utah Jazz,Ball Arena,Denver,CO,2026-03-28T01:00Z,39.7487,-105.0077
nba_401810916,nba,Portland Trail Blazers,Milwaukee Bucks,Moda Center,Portland,OR,2026-03-26T02:00Z,45.5316,-122.6668
nba_401810096,nba,Cleveland Cavaliers,Milwaukee Bucks,Rocket Arena,Cleveland,OH,2025-11-18T00:00Z,41.4965,-81.6882
nfl_401772632,nfl,Pittsburgh Steelers,Minnesota Vikings,Croke Park,Dublin,,2025-09-28T13:30Z,53.3607,-6.2512
nba_401836752,nba,Philadelphia 76ers,Indiana Pacers,Xfinity Mobile Arena,Philadelphia,PA,2025-12-13T00:00Z,39.9012,-75.172
nba_401810742,nba,Toronto Raptors,New York Knicks,Scotiabank Arena,Toronto,ON,2026-03-04T00:30Z,43.6435,-79.3791
nba_401871334,nba,Detroit Pistons,Cleveland Cavaliers,Little Caesars Arena,Detroit,MI,2026-05-07T23:00Z,42.341,-83.0553
nba_401810328,nba,Dallas Mavericks,Philadelphia 76ers,American Airlines Center,Dallas,TX,2026-01-02T01:30Z,32.7905,-96.8104
nba_401810250,nba,LA Clippers,Los Angeles Lakers,Intuit Dome,Inglewood,CA,2025-12-21T03:30Z,33.9425,-118.3411
nba_401810800,nba,Sacramento Kings,Indiana Pacers,Golden 1 Center,Sacramento,CA,2026-03-11T02:00Z,38.5802,-121.4997
nfl_401772729,nfl,Indianapolis Colts,Denver Broncos,Lucas Oil Stadium,Indianapolis,IN,2025-09-14T20:05Z,39.7601,-86.1639
nba_401810434,nba,Detroit Pistons,Phoenix Suns,Little Caesars Arena,Detroit,MI,2026-01-16T00:00Z,42.341,-83.0553
nba_401812732,nba,Philadelphia 76ers,Minnesota Timberwolves,Xfinity Mobile Arena,Philadelphia,PA,2025-10-17T23:00Z,39.9012,-75.172
nba_401809992,nba,Phoenix Suns,Memphis Grizzlies,Mortgage Matchup Center,Phoenix,AZ,2025-10-30T02:00Z,33.4457,-112.0712
nba_401810231,nba,Dallas Mavericks,Detroit Pistons,American Airlines Center,Dallas,TX,2025-12-19T01:30Z,32.7905,-96.8104
nba_401809975,nba,Utah Jazz,Phoenix Suns,Delta Center,Salt Lake City,UT,2025-10-28T01:00Z,40.7683,-111.9011
nba_401811038,nba,Portland Trail Blazers,LA Clippers,Moda Center,Portland,OR,2026-04-11T02:00Z,45.5316,-122.6668
nba_401809504,nba,Cleveland Cavaliers,Toronto Raptors,Rocket Arena,Cleveland,OH,2025-10-31T23:30Z,41.4965,-81.6882
nba_401812682,nba,Dallas Mavericks,Oklahoma City Thunder,Dickies Arena,Fort Worth,TX,2025-10-07T00:30Z,32.7519,-97.3425
nfl_401772710,nfl,Washington Commanders,Dallas Cowboys,Northwest Stadium,Landover,MD,2025-12-25T18:00Z,38.9076,-76.8645
nba_401810952,nba,Oklahoma City Thunder,Detroit Pistons,Paycom Center,Oklahoma City,OK,2026-03-31T01:30Z,35.4634,-97.5151
nba_401810234,nba,Utah Jazz,Los Angeles Lakers,Delta Center,Salt Lake City,UT,2025-12-19T02:00Z,40.7683,-111.9011
nba_401810881,nba,Atlanta Hawks,Golden State Warriors,State Farm Arena,Atlanta,GA,2026-03-22T00:00Z,33.7573,-84.3963
nba_401810951,nba,Utah Jazz,Cleveland Cavaliers,Delta Center,Salt Lake City,UT,2026-03-31T01:00Z,40.7683,-111.9011
nba_401812711,nba,Atlanta Hawks,Miami Heat,State Farm Arena,Atlanta,GA,2025-10-13T22:00Z,33.7573,-84.3963
nba_401810450,nba,Detroit Pistons,Indiana Pacers,Little Caesars Arena,Detroit,MI,2026-01-18T00:30Z,42.341,-83.0553
nba_401809984,nba,Detroit Pistons,Orlando Magic,Little Caesars Arena,Detroit,MI,2025-10-29T23:00Z,42.341,-83.0553
nba_401810223,nba,Minnesota Timberwolves,Memphis Grizzlies,Target Center,Minneapolis,MN,2025-12-18T01:00Z,44.9795,-93.276
nba_401810270,nba,Dallas Mavericks,Denver Nuggets,American Airlines Center,Dallas,TX,2025-12-24T01:00Z,32.7905,-96.8104
nba_401810082,nba,Utah Jazz,Atlanta Hawks,Delta Center,Salt Lake City,UT,2025-11-14T02:00Z,40.7683,-111.9011
nba_401810672,nba,Oklahoma City Thunder,Cleveland Cavaliers,Paycom Center,Oklahoma City,OK,2026-02-22T18:00Z,35.4634,-97.5151
nba_401810807,nba,LA Clippers,Minnesota Timberwolves,Intuit Dome,Inglewood,CA,2026-03-12T02:30Z,33.9425,-118.3411
nba_401838142,nba,Team Stripes,World,Intuit Dome,Inglewood,CA,2026-02-15T23:25Z,33.9425,-118.3411
nba_401810517,nba,Houston Rockets,Memphis Grizzlies,Toyota Center (Houston),Houston,TX,2026-01-27T01:00Z,29.7508,-95.3621
