listing_id,candidate_event_id,label,split,embedding_cosine_sim
L000015,nba_401810346,0,val,0.28055602
L000015,nba_401810899,0,val,0.28642622
L000015,nba_401810076,0,val,0.29535776
L000015,nba_401810448,0,val,0.320942
L000015,nba_401810709,0,val,0.32399723
L000015,nba_401810503,0,val,0.29730374
L000015,nba_401810485,0,val,0.28208637
L000015,nba_401810211,0,val,0.27875566
L000015,nba_401809988,0,val,0.31047103
L000015,nba_401809235,0,val,0.2769104
L000015,nba_401810128,0,val,0.28149554
L000015,nba_401810117,0,val,0.31897682
L000015,nba_401810995,0,val,0.2923653
L000016,nba_401810133,0,train,0.40935403
L000016,nba_401810493,1,train,0.45549706
L000016,nba_401810776,0,train,0.41239974
L000016,nba_401810397,0,train,0.3921501
L000016,nba_401871336,0,train,0.40605128
L000016,nba_401810513,0,train,0.42271253
L000016,nba_401809790,0,train,0.37102777
L000016,nba_401809962,0,train,0.35252184
L000016,nba_401810739,0,train,0.4194209
L000016,nba_401810413,0,train,0.40880728
L000016,nba_401871338,0,train,0.40294313
L000016,nba_401810631,0,train,0.3985167
L000016,nba_401869384,0,train,0.43545747
L000016,nba_401869380,0,train,0.43860152
L000016,nba_401810333,0,train,0.41466737
L000016,nba_401810349,0,train,0.40663216
L000016,nba_401871335,0,train,0.39774477
L000016,nba_401810257,0,train,0.43472147
L000016,nba_401810991,0,train,0.38802293
L000016,nba_401810832,0,train,0.40020394
L000017,nba_401810493,1,train,0.83041686
L000017,nba_401810996,0,train,0.76164174
L000017,nba_401810316,0,train,0.7306949
L000017,nba_401810601,0,train,0.75916004
L000017,nba_401812725,0,train,0.7411482
L000017,nba_401810933,0,train,0.7479167
L000017,nba_401809810,0,train,0.7501843
L000017,nba_401810902,0,train,0.7420596
L000017,nba_401810276,0,train,0.7904713
L000017,nba_401812690,0,train,0.744426
L000017,nba_401810185,0,train,0.7132817
L000017,nba_401810162,0,train,0.7494513
L000017,nba_401810535,0,train,0.7318011
L000017,nba_401809987,0,train,0.7487086
L000017,nba_401810078,0,train,0.7548041
L000017,nba_401810544,0,train,0.70462704
L000017,nba_401810209,0,train,0.76153207
L000017,nba_401810709,0,train,0.735021
L000017,nba_401809953,0,train,0.7337636
L000017,nba_401809819,0,train,0.7255421
L000018,nba_401810493,1,train,0.48289967
L000018,nba_401810513,0,train,0.431707
L000018,nba_401810487,0,train,0.4520353
L000018,nba_401810470,0,train,0.40360075
L000018,nba_401810505,0,train,0.5279046
L000018,nba_401810509,0,train,0.50057924
L000018,nba_401810475,0,train,0.44961503
L000018,nba_401810474,0,train,0.452337
L000018,nba_401810472,0,train,0.47228763
L000018,nba_401810483,0,train,0.4889292
L000018,nba_401810514,0,train,0.46261197
L000018,nba_401810484,0,train,0.4576719
L000018,nba_401810490,0,train,0.46299857
L000018,nba_401810491,0,train,0.4677612
L000018,nba_401810498,0,train,0.49904478
L000018,nba_401810468,0,train,0.5126251
L000019,nba_401810493,1,train,0.9374868
L000019,nba_401810513,0,train,0.84997416
L000019,nba_401810505,0,train,0.82504857
L000019,nba_401810474,0,train,0.7444779
